filename,width,height,class,xmin,ymin,xmax,ymax
1055.png,300,300,paper,12,31,196,204
1055.png,300,300,trash,105,152,280,300
1055.png,300,300,plastic,60,10,300,190
1055.png,300,300,glass,113,120,300,300
1020.png,300,300,paper,32,28,249,196
1020.png,300,300,trash,63,137,289,300
1020.png,300,300,plastic,110,62,300,198
1020.png,300,300,glass,87,120,300,300
5404.png,300,300,paper,85,10,224,190
5404.png,300,300,trash,60,142,300,300
5404.png,300,300,glass,90,83,300,235
5404.png,300,300,plastic,93,173,300,300
7568.png,300,300,metal,60,10,300,190
7568.png,300,300,glass,78,120,281,300
7568.png,300,300,plastic,91,69,300,249
7568.png,300,300,trash,81,136,300,300
3586.png,300,300,paper,31,35,271,215
3586.png,300,300,plastic,65,123,257,300
3586.png,300,300,glass,88,50,300,194
3586.png,300,300,trash,150,160,300,300
9016.png,300,300,paper,10,10,250,190
9016.png,300,300,glass,25,120,265,300
9016.png,300,300,plastic,71,23,300,169
9016.png,300,300,trash,114,130,300,300
5822.png,300,300,paper,68,66,215,197
5822.png,300,300,glass,68,120,255,300
5822.png,300,300,trash,60,23,300,203
5822.png,300,300,plastic,80,169,300,300
1450.png,300,300,metal,37,81,277,261
1450.png,300,300,glass,10,120,247,300
1450.png,300,300,plastic,136,37,300,188
1450.png,300,300,trash,130,175,300,300
4472.png,300,300,cardboard,10,10,250,190
4472.png,300,300,glass,10,120,250,300
4472.png,300,300,trash,81,21,300,201
4472.png,300,300,plastic,106,151,300,300
22.png,300,300,metal,66,15,297,193
22.png,300,300,trash,97,151,283,300
22.png,300,300,plastic,104,31,300,168
22.png,300,300,glass,60,180,300,300
958.png,300,300,cardboard,10,10,250,190
958.png,300,300,glass,91,142,260,300
958.png,300,300,plastic,71,21,300,201
958.png,300,300,trash,95,129,300,300
4713.png,300,300,paper,27,60,223,240
4713.png,300,300,glass,61,120,287,300
4713.png,300,300,trash,93,26,300,200
4713.png,300,300,plastic,80,120,300,300
2061.png,300,300,cardboard,10,10,250,190
2061.png,300,300,glass,11,139,179,300
2061.png,300,300,plastic,85,45,300,175
2061.png,300,300,trash,103,147,300,300
3960.png,300,300,metal,19,22,259,202
3960.png,300,300,trash,56,120,247,300
3960.png,300,300,plastic,146,80,300,198
3960.png,300,300,glass,87,120,300,300
8019.png,300,300,metal,60,10,300,190
8019.png,300,300,trash,61,127,260,300
8019.png,300,300,plastic,73,10,300,190
8019.png,300,300,glass,60,120,300,300
4157.png,300,300,metal,50,10,262,140
4157.png,300,300,plastic,58,162,261,300
